순번,도시분류,보증금,월세,추정전세,전용면적,건축년도
1,중형 도시,100,25,6100,10.66,2002
2,중형 도시,100,20,4900,10.66,2002
3,대도시,1000,49,12760,11.56,2003
4,중형 도시,200,29,7160,11.71,2002
5,중형 도시,40,36,8680,11.71,2002
6,대도시,8000,15,11600,13.52,2006
7,대도시,8900,0,8900,13.52,2006
8,대도시,1000,52,13480,13.52,2006
9,대도시,8450,0,8450,13.52,2006
10,지방,500,28,7220,13.79,2017
11,중형 도시,100,25,6100,13.79,2002
12,대도시,1000,60,15400,13.86,2013
13,대도시,500,55,13700,13.86,2013
14,대도시,500,55,13700,13.86,2013
15,대도시,500,55,13700,13.86,2013
16,대도시,900,60,15300,13.86,2013
17,중형 도시,300,50,12300,14.24,2017
18,중형 도시,400,50,12400,14.24,2017
19,대도시,20800,20,25600,14.28,2020
20,대도시,21000,20,25800,14.28,2020
21,대도시,21000,20,25800,14.28,2020
22,대도시,20800,10,23200,14.28,2020
23,대도시,12000,40,21600,14.28,2020
24,대도시,7600,28,14320,14.31,2003
25,대도시,1000,75,19000,14.4,2021
26,대도시,1000,75,19000,14.4,2021
27,대도시,1000,77,19480,14.48,2014
28,대도시,1000,74,18760,14.48,2014
29,대도시,1000,75,19000,14.48,2014
30,대도시,1000,77,19480,14.48,2014
31,대도시,1000,77,19480,14.48,2014
32,대도시,1000,77,19480,14.48,2014
33,대도시,1000,70,17800,14.48,2014
34,대도시,1000,74,18760,14.48,2014
35,지방,300,35,8700,14.55,2017
36,대도시,9600,0,9600,14.6,2003
37,지방,6600,9,8760,14.62,2018
38,지방,500,35,8900,14.66,2019
39,지방,1000,31,8440,14.75,2018
40,지방,300,40,9900,14.91,2019
41,지방,500,40,10100,14.91,2019
42,지방,2800,33,10720,14.99,2024
43,대도시,21000,25,27000,15.0,2020
44,대도시,2500,125,32500,15.2,2022
45,대도시,27700,10,30100,15.2,2022
46,대도시,16690,0,16690,15.26,2019
47,대도시,1000,73,18520,15.26,2019
48,대도시,1000,74,18760,15.31,2019
49,대도시,16000,0,16000,15.31,2019
50,대도시,15300,0,15300,15.31,2019
51,대도시,15700,0,15700,15.31,2019
52,대도시,5000,42,15080,15.31,2019
53,대도시,1000,71,18040,15.31,2019
54,대도시,15000,10,17400,15.31,2019
55,대도시,15300,0,15300,15.31,2019
56,대도시,4500,50,16500,15.31,2019
57,지방,1000,30,8200,15.33,2012
58,대도시,1000,50,13000,15.37,2003
59,대도시,1000,53,13720,15.37,2003
60,대도시,3000,58,16920,15.41,2021
61,지방,2000,33,9920,15.46,2021
62,지방,500,56,13940,15.47,2022
63,지방,500,44,11060,15.48,2024
64,대도시,500,120,29300,15.5,2018
65,대도시,500,120,29300,15.5,2018
66,대도시,19950,0,19950,15.5,2018
67,대도시,2000,35,10400,15.55,2020
68,대도시,7000,0,7000,15.55,2020
69,대도시,1000,40,10600,15.55,2020
70,대도시,25000,0,25000,15.56,2019
71,대도시,1000,94,23560,15.56,2019
